Date,Time,Location
30/03/2022,10:00:00,Kalisari
30/03/2022,11:00:00,Kalisari
30/03/2022,12:00:00,Kalisari
30/03/2022,13:00:00,Kalisari
30/03/2022,14:00:00,Kampung Baru
30/03/2022,15:00:00,Cijantung
30/03/2022,16:00:00,Cijantung
30/03/2022,17:00:00,Kampung Baru
30/03/2022,18:00:00,Kalisari
30/03/2022,19:00:00,Kalisari
30/03/2022,20:00:00,Kalisari
30/03/2022,21:00:00,Pekayon
30/03/2022,22:00:00,Kalisari
30/03/2022,23:00:00,Kalisari
31/03/2022,0:00:00,Kalisari
31/03/2022,1:00:00,Kalisari
31/03/2022,2:00:00,Kalisari
31/03/2022,3:00:00,Kalisari
31/03/2022,4:00:00,Kalisari
31/03/2022,5:00:00,Kalisari
31/03/2022,6:00:00,Kalisari
31/03/2022,7:00:00,Ciracas
31/03/2022,8:00:00,Ciracas
31/03/2022,9:00:00,Ciracas
31/03/2022,10:00:00,Ciracas
31/03/2022,11:00:00,Ciracas
31/03/2022,12:00:00,Ciracas
31/03/2022,13:00:00,Ciracas
31/03/2022,14:00:00,Ciracas
31/03/2022,15:00:00,Cibubur
31/03/2022,16:00:00,Cibubur
31/03/2022,17:00:00,Cibubur
31/03/2022,18:00:00,Cibubur
31/03/2022,19:00:00,Cibubur
31/03/2022,20:00:00,Ciracas
31/03/2022,21:00:00,Ciracas
31/03/2022,22:00:00,Ciracas
31/03/2022,23:00:00,Kalisari
01/04/2022,0:00:00,Kalisari
01/04/2022,1:00:00,Kalisari
01/04/2022,2:00:00,Kalisari
01/04/2022,3:00:00,Kalisari
01/04/2022,4:00:00,Kalisari
01/04/2022,5:00:00,Kalisari
01/04/2022,6:00:00,Kalisari
01/04/2022,7:00:00,Kalisari
01/04/2022,8:00:00,Kalisari
01/04/2022,9:00:00,Kalisari
01/04/2022,10:00:00,Kalisari
01/04/2022,11:00:00,Kampung Baru
01/04/2022,12:00:00,Kampung Baru
01/04/2022,13:00:00,Kampung Baru
01/04/2022,14:00:00,Ciracas
01/04/2022,15:00:00,Ciracas
01/04/2022,16:00:00,Ciracas
01/04/2022,17:00:00,Cibubur
01/04/2022,18:00:00,Cibubur
01/04/2022,19:00:00,Cibubur
01/04/2022,20:00:00,Ciracas
01/04/2022,21:00:00,Kampung Baru
01/04/2022,22:00:00,Kampung Baru
01/04/2022,23:00:00,Kampung Baru
02/04/2022,0:00:00,Kampung Baru
02/04/2022,1:00:00,Kampung Baru
02/04/2022,2:00:00,Kampung Baru
02/04/2022,3:00:00,Kampung Baru
02/04/2022,4:00:00,Kampung Baru
02/04/2022,5:00:00,Kampung Baru
02/04/2022,6:00:00,Kampung Baru
02/04/2022,7:00:00,Kampung Baru
02/04/2022,8:00:00,Kampung Baru
02/04/2022,9:00:00,Kalisari
02/04/2022,10:00:00,Kalisari
02/04/2022,11:00:00,Kalisari
02/04/2022,12:00:00,Kampung Gedong
02/04/2022,13:00:00,Cijantung
02/04/2022,14:00:00,Cijantung
02/04/2022,15:00:00,Cijantung
02/04/2022,16:00:00,Cijantung
02/04/2022,17:00:00,Kampung Gedong
02/04/2022,18:00:00,Kampung Gedong
02/04/2022,19:00:00,Kampung Gedong
02/04/2022,20:00:00,Kalisari
02/04/2022,21:00:00,Kalisari
02/04/2022,22:00:00,Kalisari
02/04/2022,23:00:00,Kalisari
03/04/2022,0:00:00,Kalisari
03/04/2022,1:00:00,Kalisari
03/04/2022,2:00:00,Kalisari
03/04/2022,3:00:00,Kalisari
03/04/2022,4:00:00,Kalisari
03/04/2022,5:00:00,Kalisari
03/04/2022,6:00:00,Cijantung
03/04/2022,7:00:00,Cijantung
03/04/2022,8:00:00,Kalisari
03/04/2022,9:00:00,Kalisari
03/04/2022,10:00:00,Kalisari
03/04/2022,11:00:00,Kalisari
03/04/2022,12:00:00,Kampung Baru
03/04/2022,13:00:00,Kampung Baru
03/04/2022,14:00:00,Kalisari
03/04/2022,15:00:00,Kalisari
03/04/2022,16:00:00,Pekayon
03/04/2022,17:00:00,Pekayon
03/04/2022,18:00:00,Kalisari
03/04/2022,19:00:00,Kalisari
03/04/2022,20:00:00,Kalisari
03/04/2022,21:00:00,Kalisari
03/04/2022,22:00:00,Kalisari
03/04/2022,23:00:00,Kalisari
04/04/2022,0:00:00,Kalisari
04/04/2022,1:00:00,Kalisari
04/04/2022,2:00:00,Kalisari
04/04/2022,3:00:00,Kalisari
04/04/2022,4:00:00,Kalisari
04/04/2022,5:00:00,Kalisari
04/04/2022,6:00:00,Kalisari
04/04/2022,7:00:00,Kalisari
04/04/2022,8:00:00,Kalisari
04/04/2022,9:00:00,Cibubur
04/04/2022,10:00:00,Cibubur
04/04/2022,11:00:00,Cibubur
04/04/2022,12:00:00,Cibubur
04/04/2022,13:00:00,Cibubur
04/04/2022,14:00:00,Cibubur
04/04/2022,15:00:00,Ciracas
04/04/2022,16:00:00,Ciracas
04/04/2022,17:00:00,Cibubur
04/04/2022,18:00:00,Cibubur
04/04/2022,19:00:00,Cibubur
04/04/2022,20:00:00,Cibubur
04/04/2022,21:00:00,Cibubur
04/04/2022,22:00:00,Cibubur
04/04/2022,23:00:00,Cibubur
05/04/2022,0:00:00,Cibubur
05/04/2022,1:00:00,Cibubur
05/04/2022,2:00:00,Cibubur
05/04/2022,3:00:00,Cibubur
05/04/2022,4:00:00,Cibubur
05/04/2022,5:00:00,Cibubur
05/04/2022,6:00:00,Cibubur
05/04/2022,7:00:00,Cibubur
05/04/2022,8:00:00,Cibubur
05/04/2022,9:00:00,Ciracas
05/04/2022,10:00:00,Ciracas
05/04/2022,11:00:00,Ciracas
05/04/2022,12:00:00,Kalisari
05/04/2022,13:00:00,Kalisari
05/04/2022,14:00:00,Kalisari